,low-med,low-high,med-high
MostPop,0.0022322075510695346,0.11117513207165261,0.16131318254728585
UserKNN,0.03993618438837421,0.0517156145090072,0.9565092428817028
ItemKNN,4.530588281949873e-13,2.1157565031815798e-62,1.7561993981538931e-71
MF,1.629898795742277e-13,3.214451962922386e-37,3.2891268618143037e-19
PMF,0.6407196494241489,0.0010873111993565281,0.00025184892755344556
NMF,0.0846135670237264,0.0035155849270619394,0.05089454113024884
HPF,0.03429189595436588,5.281428858213603e-09,1.608602229029875e-07
