,low-med,low-high,med-high
MostPop,1.047116076591048e-121,5.6360826248278925e-71,0.0005320409352583776
UserKNN,4.34404164970675e-36,1.510011766778795e-17,0.8880366121444514
ItemKNN,1.4410211479477333e-40,1.384041654419665e-35,1.1710846686161135e-05
MF,1.7476660860914135e-15,0.0003823271172180973,0.028411812145336113
PMF,1.0489588268981954e-33,7.436022022346117e-14,0.295799924344201
NMF,2.2666988007750337e-41,2.0546626454860956e-19,0.618268846857871
HPF,1.5085668651300997e-71,1.5835604778170016e-26,0.013892085213812268
