,low-med,low-high,med-high
MostPop,0.06547639562599306,0.11404560031693077,0.00017564185844523317
UserKNN,0.001907352189187146,0.24069766195138437,1.4602246620827139e-05
ItemKNN,6.899429033178033e-07,0.8017527553222235,2.0528648282580142e-05
MF,4.675522477499225e-06,0.3982115387387043,2.3673740721948728e-07
PMF,2.337018136571643e-06,0.969372267168235,1.0469690465709402e-05
NMF,0.03346900369312759,0.006589934859450262,4.654658066737136e-07
HPF,0.026764801985512066,0.7723034357149958,0.01149474426048391
