,low-med,low-high,med-high
MostPop,0.9793730349292449,0.6300664762894985,0.5360915326099873
UserKNN,0.053674510917635906,0.06061802695542393,0.9437515693190741
ItemKNN,4.705999088918015e-29,1.1214610542746832e-90,8.970161122088277e-98
MF,7.098422311712734e-22,4.177918894206791e-54,9.504404234154159e-26
PMF,0.0014830757608456254,9.662217334965279e-07,0.004456740337478427
NMF,0.027537065467909065,0.008124016429146346,0.2924412329823898
HPF,7.820520624133758e-10,5.423991637756444e-29,8.672118156694048e-15
