,low,med,high
MostPop,149.35673935471092,169.88493944327513,240.73762062605755
UserKNN,-99.32914189127624,-99.47848484434816,-99.21167461945632
ItemKNN,-94.70262170893024,-76.9643791946606,-79.59227175531197
MF,-66.07994889151422,-62.76688428158167,-58.18041962143211
PMF,15.757038487492133,11.996157674251142,27.456475082714633
NMF,-95.76992260595492,-95.80563599090627,-94.23780568779641
HPF,61.62178853330986,78.02287178632095,81.69572014403744
