,low-med,low-high,med-high
MostPop,1.3817598698567577e-29,0.2546186778217831,3.086791284066225e-21
UserKNN,0.8157685732151265,0.035811083752620765,0.02247391614850805
ItemKNN,4.846241132626656e-68,4.6725511258697353e-23,0.025060287037970398
MF,3.4649639751366276e-18,6.256325129537259e-13,0.41436441941231483
PMF,7.687282608336769e-19,0.010427778892138992,1.8653991759775472e-07
NMF,0.0004358008023252481,0.00020188851650256704,0.14836355894667716
HPF,5.730054446202896e-27,0.005508047208041308,1.3895726768921653e-11
