,low-med,low-high,med-high
MostPop,1.829092652998953e-99,6.71317256748516e-218,2.3635199772810456e-241
UserKNN,6.596365323696971e-43,2.2048983851593003e-110,2.5808542338147175e-79
ItemKNN,8.441884977267479e-79,5.443508927911901e-134,3.8162829339560106e-64
MF,4.374038799561949e-18,1.2438186554672237e-45,4.96968919973677e-30
PMF,4.167816786865298e-40,2.0507617021972654e-96,2.315646902761365e-69
NMF,5.438942867122868e-50,8.487656833710432e-125,4.469643672578067e-91
HPF,1.9737825661614154e-38,7.45707486568808e-135,6.713058309154196e-148
