,low-med,low-high,med-high
MostPop,0.0,0.0,0.0
UserKNN,0.005933915563095039,0.0007738039784537474,0.1600072535197484
ItemKNN,3.0262413425950412e-56,7.172885620995033e-122,2.7653909758036746e-193
MF,3.268680450349922e-43,2.201679935313681e-85,4.85242397037923e-39
PMF,9.299167233825149e-43,2.9448956723226115e-101,2.7052365092444784e-62
NMF,4.979008537988429e-12,1.770860481539319e-22,1.0857198094075027e-08
HPF,4.7544594917029625e-26,2.043514339332957e-147,4.549956506983586e-234
