,low-med,low-high,med-high
MostPop,0.18081717763522387,3.3354191576944403e-32,1.7579277487142328e-110
UserKNN,2.3466449619916812e-06,0.0015836224741727209,0.04883610714531235
ItemKNN,0.04657231248111119,1.92634628813121e-09,3.2726684967598975e-09
MF,,,
PMF,1.665583876338917e-05,0.19726711767001212,1.4334166454477522e-06
NMF,0.05643377372380432,1.4154548927882709e-05,0.00014041881570801303
HPF,5.6174783753768735e-12,0.003879247498742716,4.155922286052318e-10
