,low-med,low-high,med-high
MostPop,1.1346112865754286e-70,1.0313730481169107e-167,1.1296217328513468e-175
UserKNN,1.4259905584442327e-27,6.762552930903465e-78,2.3005868537700127e-58
ItemKNN,4.39842011689314e-54,3.982696484963444e-102,6.782075063495877e-55
MF,1.0762554553153306e-08,3.2401022459168464e-27,2.6509993883902986e-22
PMF,1.1109377849321891e-23,1.5197973981593204e-64,5.92385131756829e-49
NMF,1.4393358275442355e-33,2.674157774026784e-88,1.4832785990878768e-63
HPF,3.561727419394514e-20,1.1303731657383481e-89,2.0542029976975848e-104
