,low-med,low-high,med-high
MostPop,0.0,0.0,0.0
UserKNN,4.810303833304464e-41,1.9768037204803188e-67,3.754973474500887e-51
ItemKNN,2.4329474788139734e-09,7.035909114553398e-18,2.1914164108942144e-07
MF,,,
PMF,0.0,0.0,0.0
NMF,2.8485057270838663e-185,3.5604796273629983e-280,9.767178971836687e-272
HPF,1.3934761474631587e-06,1.5572037619625834e-22,5.028011078134194e-16
