,low,med,high
MostPop,-24.883044671779786,-48.45276991939806,-62.56214798232483
UserKNN,-99.84128918374162,-99.89190923514832,-99.92309240396334
ItemKNN,-99.84247097608919,-99.89302290471639,-99.92367900335901
PMF,-99.7706283907409,-99.8675941162451,-99.90736144812674
NMF,-99.84186059982176,-99.89251910181656,-99.92322486189138
HPF,-91.3927855583371,-89.8648762689019,-85.97883632882825
