,low-med,low-high,med-high
MostPop,0.0,0.0,0.0
UserKNN,0.0,0.0,0.0
ItemKNN,0.0,0.0,0.0
PMF,0.0,0.0,0.0
NMF,2.6971639307117776e-218,6.281106e-318,3.283736337829599e-252
HPF,6.252667404989221e-67,2.170394760576097e-94,5.113588724807479e-16
