,low-med,low-high,med-high
MostPop,1.998064112267056e-36,6.420986169538484e-97,5.584371309943161e-42
UserKNN,1.2977553320075817e-35,5.074593718508488e-125,5.2341139629500035e-68
ItemKNN,1.2772150172723557e-35,1.1304189433228574e-124,2.364921746022812e-67
PMF,2.3938864080602747e-33,2.0259806905347138e-98,3.261058575368852e-49
NMF,1.2043262480953295e-36,2.9495096948549413e-127,8.26511999997161e-69
HPF,1.5051303254639273e-48,1.7553984230675555e-118,4.122672264451138e-49
