,low-med,low-high,med-high
MostPop,1.802175178130824e-23,1.333554589165657e-53,6.917685230953026e-28
UserKNN,0.3175111053403767,0.3175111053403767,
ItemKNN,,,
PMF,,,
NMF,,,
HPF,5.581475016966393e-11,2.0092169875231986e-18,4.066540093786402e-06
