,low,med,high
MostPop,-10.172051417111346,-23.367324164268297,-23.36766243397218
UserKNN,-22.185711206723887,-42.25591914767535,-39.08785237047373
ItemKNN,-23.046790386720613,-43.05423630916578,-39.71991559153977
PMF,-11.009719883519557,-26.296956924714447,-26.472660941540145
NMF,-21.828535250099065,-41.78519614841249,-38.98759121341739
HPF,-8.418802638542674,-21.485230113903096,-23.525882431713654
