,low-med,low-high,med-high
MostPop,0.7141833084311773,0.0015069544558388816,5.14031293156593e-06
UserKNN,0.21058759553309758,0.000838918369119201,0.00042296071300802665
ItemKNN,0.10105110149409417,0.029982644424206468,0.29069744735888225
PMF,1.1602534890420981e-49,5.894668229754861e-49,0.0004687882838901387
NMF,0.5324792198265187,0.0002971765457455943,6.169516671477472e-07
HPF,0.6694305903488511,0.0008383517853492715,5.2050883689442495e-05
