,low,med,high
MostPop,-26.132929727060695,-49.142998246118395,-61.19586895153907
UserKNN,-99.8446680700121,-99.89334789885514,-99.91993234861454
ItemKNN,-99.84610186417063,-99.89430248841951,-99.92072555197278
PMF,-99.77646768415319,-99.86918048500624,-99.90348485088029
NMF,-99.84556894952765,-99.8937844489608,-99.92026667399693
HPF,-91.55836559770717,-89.84469205025162,-85.76790613453693
