,low,med,high
MostPop,0.6395451374443802,0.6158101912493367,0.6032063977774025
UserKNN,0.6339427547664587,0.6164675427759072,0.6139053331372466
ItemKNN,0.6336059440056403,0.6131246143541768,0.6092194642274141
PMF,0.6385930813591174,0.642917268376353,0.6520004982376039
NMF,0.6443533140148675,0.6138492199416303,0.6067078322239179
HPF,0.6269270328637038,0.6041720307259737,0.6226964991229347
