,low,med,high
MostPop,0.14951082884448325,0.0682151574864434,0.021475489011332536
UserKNN,0.00024940347610934616,0.0,0.0
ItemKNN,0.0,0.0,0.0
PMF,0.0,0.0,0.0
NMF,0.0,0.0,0.0
HPF,0.05492966176573091,0.023440459778770673,0.01162182710108357
