,low,med,high
MostPop,-46.284152355969496,-55.895122105774774,-38.782412127269225
UserKNN,-63.260417230337104,-66.2737834619413,-50.3203052844977
ItemKNN,-70.06120628273978,-76.2369977637367,-59.74628979643679
PMF,200.0843767905199,179.90810369163927,96.17562372723911
NMF,-45.4859293005872,-53.82263896823973,-37.003409313285786
HPF,-34.10860191444738,-37.84379729328711,-21.225528522511322
