,low-med,low-high,med-high
MostPop,8.928934355864478e-57,1.1771316537813179e-157,3.0911541140643114e-75
UserKNN,1.631268830564201e-57,3.980401626621268e-221,1.127549275067174e-134
ItemKNN,8.97458878308353e-57,2.4378372782743775e-221,1.3962150694140607e-135
PMF,4.038921306382254e-53,7.702278944764384e-165,5.172975760209021e-90
NMF,5.462404637061372e-59,7.37579613587702e-223,1.3025473554237113e-134
HPF,1.4124223938426756e-81,4.676096934488574e-186,5.381367436564478e-75
