,low,med,high
MostPop,-54.503961329673146,-50.357938418953886,-37.521239109287805
UserKNN,-99.90545723789556,-99.8957568148711,-99.87006091468855
ItemKNN,-99.90655970996447,-99.8965804098437,-99.87143873533213
PMF,-99.88437920547337,-99.87192955685795,-99.81608214132059
NMF,-99.90622048778943,-99.89601329773454,-99.87094060017638
HPF,-87.74606921173363,-88.83464264864394,-91.32634348443382
