domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_one,UserKNN,GAP_TTEST,N/A,med-high,,5.152041701291628e-19
music,eva_two,pop_one,ItemKNN,GAP_TTEST,N/A,med-high,,2.0112988771626414e-21
music,eva_two,pop_one,PMF,GAP_TTEST,N/A,med-high,,1.2841354953627262e-113
music,eva_two,pop_one,NMF,GAP_TTEST,N/A,med-high,,7.43957671342468e-20
music,eva_two,pop_one,HPF,GAP_TTEST,N/A,med-high,,1.3458121831319429e-18
music,eva_two,pop_two,MostPop,NDCG,low,N/A,0.6353766547087709,
music,eva_two,pop_two,UserKNN,NDCG,low,N/A,0.6303939097183336,
music,eva_two,pop_two,ItemKNN,NDCG,low,N/A,0.6270583754038315,
music,eva_two,pop_two,PMF,NDCG,low,N/A,0.6347192347907833,
music,eva_two,pop_two,NMF,NDCG,low,N/A,0.6444521042942736,
music,eva_two,pop_two,HPF,NDCG,low,N/A,0.6286869037450479,
music,eva_two,pop_two,MostPop,NDCG,med,N/A,0.6196989081541827,
music,eva_two,pop_two,UserKNN,NDCG,med,N/A,0.6185759980245372,
music,eva_two,pop_two,ItemKNN,NDCG,med,N/A,0.6166410679164309,
music,eva_two,pop_two,PMF,NDCG,med,N/A,0.6425362462757993,
music,eva_two,pop_two,NMF,NDCG,med,N/A,0.6151096739925053,
music,eva_two,pop_two,HPF,NDCG,med,N/A,0.60718208000475,
music,eva_two,pop_two,MostPop,NDCG,high,N/A,0.5956569691825151,
music,eva_two,pop_two,UserKNN,NDCG,high,N/A,0.61109735534435,
music,eva_two,pop_two,ItemKNN,NDCG,high,N/A,0.6051817992215627,
music,eva_two,pop_two,PMF,NDCG,high,N/A,0.6570401468409706,
music,eva_two,pop_two,NMF,NDCG,high,N/A,0.602767908068081,
music,eva_two,pop_two,HPF,NDCG,high,N/A,0.6118424085975427,
music,eva_two,pop_two,MostPop,GAP,low,N/A,-46.284152355969496,
music,eva_two,pop_two,UserKNN,GAP,low,N/A,-63.260417230337104,
music,eva_two,pop_two,ItemKNN,GAP,low,N/A,-70.06120628273978,
music,eva_two,pop_two,PMF,GAP,low,N/A,200.0843767905199,
music,eva_two,pop_two,NMF,GAP,low,N/A,-45.4859293005872,
music,eva_two,pop_two,HPF,GAP,low,N/A,-34.10860191444738,
music,eva_two,pop_two,MostPop,GAP,med,N/A,-55.89512210577477,
music,eva_two,pop_two,UserKNN,GAP,med,N/A,-66.2737834619413,
music,eva_two,pop_two,ItemKNN,GAP,med,N/A,-76.2369977637367,
music,eva_two,pop_two,PMF,GAP,med,N/A,179.90810369163927,
music,eva_two,pop_two,NMF,GAP,med,N/A,-53.82263896823973,
music,eva_two,pop_two,HPF,GAP,med,N/A,-37.84379729328711,
music,eva_two,pop_two,MostPop,GAP,high,N/A,-38.782412127269225,
music,eva_two,pop_two,UserKNN,GAP,high,N/A,-50.3203052844977,
music,eva_two,pop_two,ItemKNN,GAP,high,N/A,-59.74628979643679,
music,eva_two,pop_two,PMF,GAP,high,N/A,96.17562372723911,
music,eva_two,pop_two,NMF,GAP,high,N/A,-37.003409313285786,
music,eva_two,pop_two,HPF,GAP,high,N/A,-21.22552852251132,
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,low-med,,0.0346236622656746
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,low-med,,0.1088983880178578
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,low-med,,0.1646912530250689
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,low-med,,0.2980891072208439
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,low-med,,8.591526765768133e-05
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,low-med,,0.0045684712910033
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,low-high,,8.025354530245317e-06
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,low-high,,0.0353689439926156
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0166430916695833
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,low-high,,0.0159940988797861
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,low-high,,7.501084634383658e-06
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,low-high,,0.0716850197304901
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,med-high,,0.0010082652748915
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,med-high,,0.330541344455757
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,med-high,,0.1260814583919609
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,med-high,,0.055688424778771
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,med-high,,0.1062405236696748
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,med-high,,0.5417287931929919
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,low-med,,6.926437578856263e-13
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,low-med,,0.0053391537469551
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,low-med,,9.304723067766841e-11
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,low-med,,0.0019421180163949
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,low-med,,7.644011924886073e-10
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,low-med,,0.016442353396499
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,low-high,,8.90983710682743e-05
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,low-high,,4.4091831378680413e-13
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,low-high,,1.7836000113141323e-09
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,low-high,,4.596713591518942e-49
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,low-high,,7.607171872232994e-06
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,low-high,,1.5454045076542954e-10
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,med-high,,4.081751776087472e-24
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,med-high,,5.9013512377299855e-22
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,med-high,,1.8556772967189623e-24
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,med-high,,9.826665813392365e-153
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,med-high,,2.0439294512689742e-24
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,med-high,,1.2984307716732185e-23
music,eva_two,pop_four,MostPop,NDCG,low,N/A,0.6056922774243857,
music,eva_two,pop_four,UserKNN,NDCG,low,N/A,0.6188489456643652,
music,eva_two,pop_four,ItemKNN,NDCG,low,N/A,0.6051189525870477,
music,eva_two,pop_four,PMF,NDCG,low,N/A,0.6529024268996088,
music,eva_two,pop_four,NMF,NDCG,low,N/A,0.6056732814440198,
music,eva_two,pop_four,HPF,NDCG,low,N/A,0.6201290442321961,
music,eva_two,pop_four,MostPop,NDCG,med,N/A,0.6120623519726966,
music,eva_two,pop_four,UserKNN,NDCG,med,N/A,0.6144403053592802,
music,eva_two,pop_four,ItemKNN,NDCG,med,N/A,0.6151872700410917,
music,eva_two,pop_four,PMF,NDCG,med,N/A,0.640789600474781,
music,eva_two,pop_four,NMF,NDCG,med,N/A,0.6150324099346413,
music,eva_two,pop_four,HPF,NDCG,med,N/A,0.6039522527340062,
music,eva_two,pop_four,MostPop,NDCG,high,N/A,0.6483907222099311,
music,eva_two,pop_four,UserKNN,NDCG,high,N/A,0.6351230451182938,
music,eva_two,pop_four,ItemKNN,NDCG,high,N/A,0.6315488794096494,
music,eva_two,pop_four,PMF,NDCG,high,N/A,0.6440680175957538,
music,eva_two,pop_four,NMF,NDCG,high,N/A,0.6418930842515279,
