domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_one,UserKNN,GAP_TTEST,N/A,med-high,,0.0488361071453123
music,eva_two,pop_one,ItemKNN,GAP_TTEST,N/A,med-high,,3.2726684967598967e-09
music,eva_two,pop_one,PMF,GAP_TTEST,N/A,med-high,,1.4334166454477522e-06
music,eva_two,pop_one,NMF,GAP_TTEST,N/A,med-high,,0.000140418815708
music,eva_two,pop_one,HPF,GAP_TTEST,N/A,med-high,,4.1559222860523175e-10
music,eva_two,pop_two,MostPop,NDCG,low,N/A,0.6413640304611978,
music,eva_two,pop_two,UserKNN,NDCG,low,N/A,0.6418008760479026,
music,eva_two,pop_two,ItemKNN,NDCG,low,N/A,0.6387764169474098,
music,eva_two,pop_two,PMF,NDCG,low,N/A,0.6363134733459888,
music,eva_two,pop_two,NMF,NDCG,low,N/A,0.6347713875611675,
music,eva_two,pop_two,HPF,NDCG,low,N/A,0.6636644862948361,
music,eva_two,pop_two,MostPop,NDCG,med,N/A,0.6230177096687065,
music,eva_two,pop_two,UserKNN,NDCG,med,N/A,0.6185798243464486,
music,eva_two,pop_two,ItemKNN,NDCG,med,N/A,0.6159993894583996,
music,eva_two,pop_two,PMF,NDCG,med,N/A,0.6286695359554997,
music,eva_two,pop_two,NMF,NDCG,med,N/A,0.6152571745157759,
music,eva_two,pop_two,HPF,NDCG,med,N/A,0.6391001324138135,
music,eva_two,pop_two,MostPop,NDCG,high,N/A,0.6375526554030435,
music,eva_two,pop_two,UserKNN,NDCG,high,N/A,0.6195400478746401,
music,eva_two,pop_two,ItemKNN,NDCG,high,N/A,0.6174580583135791,
music,eva_two,pop_two,PMF,NDCG,high,N/A,0.6256698088515664,
music,eva_two,pop_two,NMF,NDCG,high,N/A,0.6223375297781767,
music,eva_two,pop_two,HPF,NDCG,high,N/A,0.6462912123598902,
music,eva_two,pop_two,MostPop,GAP,low,N/A,205.05662497482223,
music,eva_two,pop_two,UserKNN,GAP,low,N/A,23.311819499004187,
music,eva_two,pop_two,ItemKNN,GAP,low,N/A,-0.9916579042792046,
music,eva_two,pop_two,PMF,GAP,low,N/A,59.699503948202846,
music,eva_two,pop_two,NMF,GAP,low,N/A,11.986242217335134,
music,eva_two,pop_two,HPF,GAP,low,N/A,68.57821583766395,
music,eva_two,pop_two,MostPop,GAP,med,N/A,186.65343786693572,
music,eva_two,pop_two,UserKNN,GAP,med,N/A,36.46366935648956,
music,eva_two,pop_two,ItemKNN,GAP,med,N/A,4.999124931359472,
music,eva_two,pop_two,PMF,GAP,med,N/A,77.41177195834013,
