domain,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,movies,music,music,music,music,music,music,music,music,music,music,music,music,music,music,music,music,music,music
eval_strategy_desc,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,TrainItems,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest,UserTest
pop_notion_desc,AveragePopularity,AveragePopularity,AveragePopularity,NicheConsumptionRate,NicheConsumptionRate,NicheConsumptionRate,PopularPercentage,PopularPercentage,PopularPercentage,AveragePopularity,AveragePopularity,AveragePopularity,NicheConsumptionRate,NicheConsumptionRate,NicheConsumptionRate,PopularPercentage,PopularPercentage,PopularPercentage,AveragePopularity,AveragePopularity,AveragePopularity,NicheConsumptionRate,NicheConsumptionRate,NicheConsumptionRate,PopularPercentage,PopularPercentage,PopularPercentage,AveragePopularity,AveragePopularity,AveragePopularity,NicheConsumptionRate,NicheConsumptionRate,NicheConsumptionRate,PopularPercentage,PopularPercentage,PopularPercentage
comparison_group,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high,low-high,low-med,med-high
algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPF,2.043514339332957e-147,4.7544594917029625e-26,4.549956506983586e-234,7.599825389276222e-24,4.346104540735964e-37,0.0392882820440774,3.405993928208903e-104,4.0623456092836704e-17,4.014675588520321e-153,7.45707486568808e-135,1.9737825661614154e-38,6.713058309154196e-148,1.5835604778170016e-26,1.5085668651300997e-71,0.0138920852138122,1.1303731657383481e-89,3.561727419394514e-20,2.0542029976975848e-104,1.5572037619625834e-22,1.3934761474631587e-06,5.028011078134194e-16,0.0010231959022554,0.0011821612495726,0.2276289887103537,4.253635548636741e-09,0.0041621350376574,8.784643646021498e-07,0.2152503788014116,4.806748580926707e-07,7.903676979215737e-24,0.0004627135339208,8.295843974206185e-06,1.35222859334216e-11,0.0038792474987427,5.6174783753768735e-12,4.1559222860523175e-10
ItemKNN,7.172885620995032e-122,3.026241342595041e-56,2.765390975803674e-193,4.701878166349406e-36,2.0368362934080194e-120,0.0344675104060616,5.488161534825693e-92,1.3405404858025201e-32,6.390369758360449e-137,5.443508927911901e-134,8.441884977267479e-79,3.8162829339560106e-64,1.384041654419665e-35,1.4410211479477331e-40,1.1710846686161135e-05,3.982696484963444e-102,4.3984201168931404e-54,6.782075063495877e-55,7.035909114553398e-18,2.432947478813973e-09,2.191416410894215e-07,6.210583852115696e-19,7.886078317581779e-09,4.309546355045845e-09,9.9183939286807e-19,7.405137103612978e-08,5.239030346578349e-10,8.543290236067846e-11,0.0157682539986966,1.6255733913287803e-09,1.834304812278229e-07,1.2759121382209426e-07,0.1345369812383447,1.9263462881312103e-09,0.0465723124811111,3.2726684967598967e-09
MostPop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71317256748516e-218,1.829092652998953e-99,2.3635199772810456e-241,5.636082624827893e-71,1.047116076591048e-121,0.0005320409352583,1.0313730481169109e-167,1.1346112865754286e-70,1.1296217328513468e-175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957806901901553e-47,0.0061961051656472,1.2581782834796441e-150,3.2178135199673483e-22,1.9253150608631985e-73,0.8011458267466605,3.3354191576944403e-32,0.1808171776352238,1.7579277487142328e-110
NMF,1.770860481539319e-22,4.979008537988429e-12,1.0857198094075029e-08,1.6122328113895391e-06,0.87021584854918,3.277760926857078e-08,1.1619731262209886e-18,6.592292564962934e-10,3.627715793850571e-07,8.48765683371043e-125,5.438942867122869e-50,4.4696436725780667e-91,2.054662645486096e-19,2.2666988007750332e-41,0.618268846857871,2.674157774026784e-88,1.4393358275442356e-33,1.4832785990878768e-63,3.5604796273629983e-280,2.8485057270838663e-185,9.767178971836687e-272,1.063784312487381e-253,5.804101399765635e-159,6.330096396493855e-157,5.548706204185327e-270,5.484350221884732e-177,1.5520597782091706e-199,1.5203920167755126e-06,9.99810929219176e-05,0.0767589433429345,4.703470525969708e-05,0.0035071454515724,0.0240788645340983,1.4154548927882707e-05,0.0564337737238043,0.000140418815708
PMF,2.9448956723226115e-101,9.299167233825149e-43,2.7052365092444784e-62,4.138198251999666e-07,0.015126846262321,1.9859415249871001e-13,3.6562236876238473e-72,9.405367160038242e-36,2.298129710622545e-31,2.0507617021972654e-96,4.167816786865298e-40,2.3156469027613647e-69,7.436022022346118e-14,1.0489588268981954e-33,0.295799924344201,1.5197973981593204e-64,1.1109377849321893e-23,5.9238513175682894e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1952589926633717,2.837006279757949e-06,2.463487184407928e-20,0.0576719275856067,0.0032554984089224,0.0001008187863521,0.1972671176700121,1.665583876338917e-05,1.4334166454477522e-06
